id;telephone;minute;megabit;created_at
1;+33 60925235;30624;45689;2022-11-19T19:27:42
2;0681205554XX;39885;14135;2022-11-19T21:23:18
3;+33 30058590;26847;74184;2022-11-19T20:50:14
4;0246062393XX;81150;19412;2022-11-19T02:52:08
5;+33 67880923;7649;1395;2022-11-19T23:54:37
6;0119463873XX;16414;47338;2022-11-19T17:23:25
7;0747572524XX;54520;86834;2022-11-19T04:11:52
8;0296175390XX;34864;49159;2022-11-19T10:07:48
9;0510512849XX;30605;71031;2022-11-19T06:27:55
10;+33 67857291;23165;6006;2022-11-19T07:31:24
