id;telephone;created_at;montant;choix_du_gain
1;+33 34249381;2022-11-19T10:32:33;6471;INTERNET
2;0511885794XX;2022-11-19T08:50:39;39210;INTERNET
3;0730738103XX;2022-11-19T13:15:56;24596;INTERNET
4;+33 48467655;2022-11-19T06:18:21;50527;INTERNET
5;0656188650XX;2022-11-19T04:43:31;75375;INTERNET
6;+33 25420366;2022-11-19T19:38:45;25341;INTERNET
7;0622088694XX;2022-11-19T04:36:43;26137;INTERNET
8;+33 59086647;2022-11-19T10:30:34;90880;MINUTES
9;+33 60588533;2022-11-19T19:17:49;47528;INTERNET
10;0412632430XX;2022-11-19T08:20:36;82876;MINUTES
